ProteinID,PSME1_KD_1_original_intensity,PSME1_KD_2_original_intensity,PSME1_KD_3_original_intensity,Scram_1_original_intensity,Scram_2_original_intensity,Scram_3_original_intensity
A0A1B0GTW7,28.811053060997356,29.078104590045047,29.111650000132716,29.60081742212133,29.18313958218408,29.265090764583643
AAAS,26.96683297879581,27.15283449089087,26.909901086924176,26.777562308138986,26.485530316644038,26.80434809249169
AACS,27.764426693887415,27.734715131874765,27.519692691829523,27.757254837579158,27.926826316139465,27.979681776811287
AAGAB,27.703390743972477,27.963100121683095,27.91156844,27.779199802140386,28.111218996610106,27.743460710643713
AAK1,25.38951628352382,25.507468290135307,25.31639917293137,25.427894117229876,25.346014967766365,24.89584684666713
AAMP,23.664619506379005,25.21648288463224,25.050319917593324,22.926852225718573,23.603846934995325,23.97939209538394
AAR2,25.702901196956958,25.653355039424206,25.541556774237055,25.466432503308024,25.66948901301506,25.65902026871857
AARS,28.860231411055427,29.06941562,29.108695760231434,28.67537526480908,28.768729699131473,28.307921201721353
AARS2,25.591213631020615,25.49291916817005,24.984235294006364,24.882001548971772,25.60116336317379,25.361207835823983
AARSD1,25.972428967845815,26.09386463727857,26.130336218491102,26.17960420625169,26.204854506880473,25.970199911529054
AASDHPPT,26.23646158540109,26.166545731227085,26.198951589396312,26.315200609183716,26.130474199103393,26.025175907152487
AATF,27.89605876535586,27.932773164368278,28.01974726,27.91504291669084,27.94768819071705,27.849020413674292
ABCA1,24.747543077536335,24.616437134472516,24.448114639491852,25.08779265425584,25.20353888228125,25.387934692855392
ABCA3,25.066058712829395,24.959848530959782,24.724702290773056,25.013884087087945,24.65339015002033,25.081187919308082
ABCB10,24.473137363884735,24.710317241910857,24.58163095830551,25.442244321905402,25.03173233348986,25.304839580299745
ABCB6,26.318688823815254,26.51860572241991,26.793119304750714,26.44316628353146,26.014429843093193,26.15645069045935
ABCB7,26.00438505,26.093122824738163,25.57540600842697,26.464852341903278,26.001877756200408,26.27628897118851
ABCB8,24.382380102242195,24.71730797,24.316190826474095,24.717208002470677,24.674381536400183,24.773860272159656
ABCC1,28.582724043943063,28.659381093813398,28.655241460123204,28.60193884685038,28.54455699678443,28.76095413162442
ABCC10,23.33343887515594,22.807063181573383,22.68849168124604,23.303072167095767,23.154769307852316,22.754231598876498
